OBJECTID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Impor,lng,lat
61,288,LIMA REFINING COMPANY,HUSKY ENERGY INC,Lima,Ohio,2,185,57,45.3,26,0,55,23.2,158,23,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.715965,-84.12464,1,-84.12464000000003,40.715965000000025
62,289,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Belle Chasse,Louisiana,3,269.1,104.2,107,0,0,48.5,35,197.7,26,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.684405,-89.979839,1,-89.97983899999997,29.684405000000023
63,297,BP PRODUCTS NORTH AMERICA INC,BP PLC,Whiting,Indiana,2,440,276.2,184,0,0,67,59.9,579.2,102,29.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,41.668103,-87.480268,1,-87.48026799999995,41.66810299999998
64,300,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,Mandan,North Dakota,2,74,0,30.6,0,0,12.5,4.8,60.3,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,46.849832,-100.883767,0,-100.883767,46.84983200000005
65,301,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,Galveston Bay,Texas,3,625,259.5,205.5,163,0,144.5,61,429.5,33,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.374692,-94.933456,1,-94.93345599999999,29.374691999999996
66,302,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,Salt Lake City,Utah,4,66.5,0,24.5,0,0,11.5,7.5,42,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.792315,-111.905455,1,-111.90545499999996,40.792314999999995
67,308,TOLEDO REFINING CO LLC,PBF ENERGY CO LLC,Toledo,Ohio,2,180,0,82,52,0,51.8,10,149.9,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,41.62889,-83.50492,1,-83.50492,41.62889000000005
68,309,HOLLYFRONTIER TULSA REFINING LLC,HOLLYFRONTIER CORP,Tulsa West,Oklahoma,2,91,32,0,0,0,0,0.9,49.6,11,6.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,36.139133,-96.022697,1,-96.02269699999995,36.13913300000007
69,314,TESORO ALASKA COMPANY LLC,MARATHON PETROLEUM CORP,Kenai,Alaska,5,72,26,0,13,0,13.5,5,24.5,0,9.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,60.682335,-151.376675,1,-151.37667499999998,60.68233500000004
70,317,HOLLYFRONTIER EL DORADO REFINING LLC,HOLLYFRONTIER CORP,El Dorado,Kansas,2,165,65,44,0,0,31,30.5,193,22.5,4,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,37.797473,-96.872662,1,-96.87266200000002,37.797473
71,322,Shell Oil Products US,ROYAL DUTCH/SHELL GROUP,Anacortes,Washington,5,149,65.8,57.9,0,0,21.7,12.5,130.5,25.3,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,48.470693,-122.556244,1,-122.55624399999999,48.47069300000002
72,329,US OIL & REFINING CO,PAR PETROLEUM INC,Tacoma,Washington,5,42,19.2,0,0,0,6.8,4.5,18.9,0,8.7,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,47.255786,-122.397126,1,-122.39712599999997,47.255786000000015
